1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
100,100,100,,,100,,100,,100,100,100,100,100,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,50,,,51,50,40,40,40,40,40,49,40,40,50,0
50,50,,50,,50,50,40,45,45,35,25,30,35,30,75,0
42,48,,40,,39,39,39,39,39,,29,35,36,29,50,0
70,70,80,,,75,80,70,80,65,50,50,55,60,50,50,0
55,50,,50,51,,50,50,,50,50,50,50,,50,50,0
50,50,,50,,50,50,50,50,50,50,35,40,40,40,40,100
31,31,50,,50,,45,35,60,43,31,21,43,41,51,61,0
30,30,50,,50,,50,55,60,60,50,30,50,47,50,55,0
75,75,75,,75,,75,70,80,75,75,55,55,55,45,55,0
25,20,20,,20,,20,30,30,15,,,7,38,,33,0
20,20,20,,25,,25,20,35,50,20,10,25,16,15,50,0
37,32,35,,35,,35,32,34,33,,31,30,31,28,31,0
50,50,50,50,,50,50,48,54,52,45,40,48,48,45,50,0
50,50,,50,50,,50,50,50,50,40,40,30,40,40,60,0
50,,50,50,50,,51,51,,51,50,47,50,51,50,55,0
95,95,95,,,95,95,95,95,95,95,90,95,95,95,90,50
1,,,5,6,,8,1,10,3,3,1,1,1,1,10,0
35,30,,45,42,,50,30,51,45,35,25,30,35,25,50,0
88,72,,83,74,,72,72,71,74,72,70,76,75,76,84,0
75,75,,80,75,,75,68,80,80,75,40,78,89,60,89,0
40,40,,40,40,,40,,40,40,40,40,40,40,40,40,0
75,70,,70,70,,75,,80,70,50,45,50,51,40,70,0
43,44,,53,45,,58,41,40,42,64,13,20,25,34,29,0
30,5,,50,50,,60,25,75,60,15,5,25,55,25,55,0
95,95,,96,,97,96,,98,97,94,85,85,90,94,96,0
70,60,,65,60,,60,,70,60,50,40,55,55,50,65,0
10,10,,10,10,,10,10,10,11,9,5,6,16,13,13,0
25,25,,30,29,,29,25,40,30,25,15,25,20,25,60,0
20,20,,30,30,,30,20,35,30,20,20,55,30,20,45,0
60,60,,,50,,50,40,60,55,30,25,30,40,30,40,0
3,3,,0,0,2,2,0,2,2,2,2,2,2,2,1,1
44,43,,43,43,,43,41,51,50,50,45,44,44,47,51,0
