Subject,Belief,Elicitation
1,59,1
2,50,1
3,50,1
4,50,1
5,50,1
6,50,1
7,50,1
8,50,1
9,50,1
10,95,1
11,75,1
12,90,1
13,50,1
14,50,1
15,86.5,1
16,50,1
17,50,1
18,50,1
19,50,1
20,65,1
21,50,1
22,52.5,1
23,50,1
24,90,1
25,50,1
26,90,1
1,68,2
2,60,2
3,50,2
4,60,2
5,51.5,2
6,67.5,2
7,50,2
8,50,2
9,75,2
10,90,2
11,75,2
12,95,2
13,55,2
14,90,2
15,75.5,2
16,50,2
17,50,2
18,55,2
19,61,2
20,50.5,2
21,75,2
22,55,2
23,60,2
24,60,2
25,57.5,2
26,60,2
1,77.5,3
2,70,3
3,60,3
4,75,3
5,51.5,3
6,72.5,3
7,65,3
8,60,3
9,80,3
10,92.5,3
11,75,3
12,90,3
13,55,3
14,85,3
15,82.5,3
16,65,3
17,60,3
18,60,3
19,68,3
20,55,3
21,95,3
22,75,3
23,60,3
24,67.5,3
25,62.5,3
26,67.5,3
1,82.5,4
2,70,4
3,65,4
4,75,4
5,52.5,4
6,77.5,4
7,85,4
8,55,4
9,80,4
10,97.5,4
11,50,4
12,95,4
13,55,4
14,87.5,4
15,84.5,4
16,70,4
17,50,4
18,57.5,4
19,69.5,4
20,82.5,4
21,95,4
22,65,4
23,80,4
24,90,4
25,75,4
26,80,4
1,87.5,5
2,75,5
3,65,5
4,75,5
5,53,5
6,80,5
7,75,5
8,55,5
9,80,5
10,97.5,5
11,87.5,5
12,90,5
13,65,5
14,87.5,5
15,88,5
16,80,5
17,50,5
18,55,5
19,71.5,5
20,72.5,5
21,95,5
22,65,5
23,85,5
24,97.5,5
25,75,5
26,82.5,5
1,92.5,6
2,85,6
3,65,6
4,85,6
5,52,6
6,85,6
7,75,6
8,55,6
9,75,6
10,93.5,6
11,50,6
12,95,6
13,75,6
14,85,6
15,89.5,6
16,90,6
17,60,6
18,52.5,6
19,79,6
20,97.5,6
21,95,6
22,60,6
23,75,6
24,92.5,6
25,75,6
26,80,6
1,100,7
2,100,7
3,100,7
4,100,7
5,100,7
6,100,7
7,100,7
8,100,7
9,100,7
10,100,7
11,100,7
12,100,7
13,100,7
14,100,7
15,100,7
16,100,7
17,100,7
18,100,7
19,100,7
20,100,7
21,100,7
22,100,7
23,100,7
24,100,7
25,100,7
26,100,7
