Subject Number,Entry 1,Entry 2,Entry 3,Entry 4,Entry 5,Entry 6,Entry 7
1,59,68,77.5,82.5,87.5,92.5,100
2,50,60,70,70,75,85,100
3,50,50,60,65,65,65,100
4,50,60,75,75,75,85,100
5,50,51.5,51.5,52.5,53,52,100
6,50,67.5,72.5,77.5,80,85,100
7,50,50,65,85,75,75,100
8,50,50,60,55,55,55,100
9,50,75,80,80,80,75,100
10,95,90,92.5,97.5,97.5,93.5,100
11,75,75,75,50,87.5,50,100
12,90,95,90,95,90,95,100
13,50,55,55,55,65,75,100
14,50,90,85,87.5,87.5,85,100
15,86.5,75.5,82.5,84.5,88,89.5,100
16,50,50,65,70,80,90,100
17,50,50,60,50,50,60,100
18,50,55,60,57.5,55,52.5,100
19,50,61,68,69.5,71.5,79,100
20,65,50.5,55,82.5,72.5,97.5,100
21,50,75,95,95,95,95,100
22,52.5,55,75,65,65,60,100
23,50,60,60,80,85,75,100
24,90,60,67.5,90,97.5,92.5,100
25,50,57.5,62.5,75,75,75,100
26,90,60,67.5,80,82.5,80,100
27,50,85,90,95,95,90,100
