Subject Number,Beg Game,End Q1,Mid Q2,End Q2,Mid Q3,End Q3,End Game
1,75,80,75,80,86,80,100
2,100,100,100,100,100,100,100
4,75,75,75,75,75,75,100
5,60,60,63,55,51,50,100
6,56,55,70,87,90,94,100
7,50,53,53,53,50,60,100
8,50,50,60,80,83,86,100
9,70,65,75,80,84,85,100
10,50,67,60,60,55,55,100
11,50,50,50,50,50,50,50
12,55,60,55,60,55,55,100
13,90,90,90,90,70,50,100
14,60,60,55,60,51,51,100
15,85,87,80,85,76,75,100
16,80,80,75,75,50,50,100
17,70,70,70,72,65,51,100
18,50,54,52,55,50,50,100
19,50,50,50,50,50,50,100
20,55,65,60,65,60,56,100
21,66,63,63,51,55,55,100
22,70,73,70,70,55,52,99
23,60,65,60,67,60,73,100
24,69,68,69,73,63,66,100
26,50,50,50,50,59,70,100
27,50,50,62,65,56,50,100
28,50,75,50,65,65,60,100
29,75,65,75,76,80,88,100
30,85,85,90,85,90,90,100
,,,,,,,
,,,,,,,
