1,2,3,4,5,6,7
100,100,100,100,100,100,100
50,51,60,60,60,51,100
50,50,60,55,75,70,100
58,61,61,61,71,65,100
70,75,70,65,50,55,100
55,51,50,50,50,50,100
50,50,50,50,65,60,100
69,50,65,57,79,57,100
70,50,55,60,70,50,100
75,75,70,75,55,55,100
75,80,70,85,100,93,100
80,75,80,50,90,75,100
63,65,68,67,69,70,100
50,50,52,52,60,52,100
50,50,50,50,60,70,60
50,50,51,51,53,50,100
95,95,95,95,90,95,50
99,94,99,95,99,99,100
65,58,70,80,75,70,100
88,74,72,72,70,76,100
75,75,68,80,60,78,100
60,60,60,60,60,60,100
75,70,75,70,55,50,100
57,55,59,58,87,80,100
70,50,75,60,95,75,100
95,97,96,97,85,85,100
70,60,60,60,60,55,100
90,90,90,89,95,94,100
75,71,75,70,85,75,100
80,70,80,70,80,55,100
60,50,60,55,75,70,100
97,98,98,98,98,98,99
56,57,59,50,55,56,100
,,,,,,
