Surprise,Castle,Saints vs Eagles,Cowboys vs Eagles
0,0,0.058823529,0
1,0,0.088235294,0.068965517
2,0,0.088235294,0.068965517
3,0,0.088235294,0.068965517
4,0,0.088235294,0.068965517
5,0,0.088235294,0.068965517
6,0,0.088235294,0.068965517
7,0,0.088235294,0.068965517
8,0,0.088235294,0.068965517
9,0,0.088235294,0.068965517
10,0,0.088235294,0.068965517
11,0,0.088235294,0.068965517
12,0,0.088235294,0.068965517
13,0,0.088235294,0.068965517
14,0,0.088235294,0.068965517
15,0,0.088235294,0.068965517
16,0,0.088235294,0.068965517
17,0,0.088235294,0.068965517
18,0,0.088235294,0.068965517
19,0,0.088235294,0.068965517
20,0,0.088235294,0.068965517
21,0,0.088235294,0.068965517
22,0,0.088235294,0.068965517
23,0,0.088235294,0.068965517
24,0,0.088235294,0.068965517
25,0,0.117647059,0.068965517
26,0,0.117647059,0.068965517
27,0,0.117647059,0.068965517
28,0,0.147058824,0.068965517
29,0,0.147058824,0.068965517
30,0,0.147058824,0.068965517
31,0,0.147058824,0.068965517
32,0,0.147058824,0.068965517
33,0,0.147058824,0.068965517
34,0,0.147058824,0.068965517
35,0,0.147058824,0.068965517
36,0,0.147058824,0.068965517
37,0,0.147058824,0.068965517
38,0,0.147058824,0.068965517
39,0.037037037,0.147058824,0.068965517
40,0.037037037,0.147058824,0.068965517
41,0.037037037,0.147058824,0.068965517
42,0.037037037,0.147058824,0.068965517
43,0.037037037,0.147058824,0.068965517
44,0.037037037,0.147058824,0.068965517
45,0.037037037,0.147058824,0.068965517
46,0.037037037,0.147058824,0.068965517
47,0.037037037,0.147058824,0.068965517
48,0.037037037,0.147058824,0.068965517
49,0.037037037,0.147058824,0.068965517
50,0.037037037,0.147058824,0.068965517
51,0.074074074,0.147058824,0.068965517
52,0.074074074,0.147058824,0.068965517
53,0.074074074,0.147058824,0.068965517
54,0.074074074,0.147058824,0.068965517
55,0.074074074,0.147058824,0.068965517
56,0.074074074,0.147058824,0.068965517
57,0.074074074,0.147058824,0.068965517
58,0.074074074,0.147058824,0.068965517
59,0.074074074,0.147058824,0.103448276
60,0.074074074,0.147058824,0.103448276
61,0.074074074,0.147058824,0.103448276
62,0.074074074,0.147058824,0.103448276
63,0.074074074,0.147058824,0.103448276
64,0.074074074,0.147058824,0.103448276
65,0.074074074,0.147058824,0.103448276
66,0.074074074,0.147058824,0.103448276
67,0.074074074,0.147058824,0.103448276
68,0.074074074,0.147058824,0.103448276
69,0.074074074,0.147058824,0.103448276
70,0.074074074,0.147058824,0.103448276
71,0.074074074,0.147058824,0.103448276
72,0.074074074,0.147058824,0.103448276
73,0.074074074,0.147058824,0.103448276
74,0.074074074,0.147058824,0.103448276
75,0.074074074,0.147058824,0.103448276
76,0.074074074,0.147058824,0.103448276
77,0.074074074,0.147058824,0.103448276
78,0.074074074,0.147058824,0.103448276
79,0.074074074,0.147058824,0.103448276
80,0.074074074,0.147058824,0.103448276
81,0.074074074,0.147058824,0.103448276
82,0.074074074,0.147058824,0.103448276
83,0.074074074,0.147058824,0.103448276
84,0.074074074,0.147058824,0.103448276
85,0.074074074,0.147058824,0.103448276
86,0.074074074,0.147058824,0.103448276
87,0.074074074,0.147058824,0.103448276
88,0.074074074,0.147058824,0.103448276
89,0.074074074,0.147058824,0.103448276
90,0.074074074,0.147058824,0.103448276
91,0.074074074,0.147058824,0.103448276
92,0.074074074,0.147058824,0.103448276
93,0.074074074,0.147058824,0.103448276
94,0.074074074,0.147058824,0.103448276
95,0.074074074,0.147058824,0.103448276
96,0.074074074,0.147058824,0.103448276
97,0.074074074,0.147058824,0.103448276
98,0.074074074,0.147058824,0.103448276
99,0.074074074,0.147058824,0.103448276
100,0.111111111,0.147058824,0.103448276
101,0.148148148,0.176470588,0.103448276
102,0.148148148,0.176470588,0.103448276
103,0.148148148,0.176470588,0.103448276
104,0.148148148,0.176470588,0.103448276
105,0.148148148,0.176470588,0.103448276
106,0.148148148,0.176470588,0.103448276
107,0.148148148,0.176470588,0.103448276
108,0.148148148,0.176470588,0.103448276
109,0.148148148,0.176470588,0.103448276
110,0.148148148,0.176470588,0.103448276
111,0.148148148,0.176470588,0.103448276
112,0.148148148,0.176470588,0.103448276
113,0.148148148,0.176470588,0.103448276
114,0.148148148,0.176470588,0.103448276
115,0.148148148,0.176470588,0.103448276
116,0.148148148,0.176470588,0.103448276
117,0.148148148,0.176470588,0.103448276
118,0.148148148,0.176470588,0.103448276
119,0.148148148,0.176470588,0.103448276
120,0.148148148,0.176470588,0.103448276
121,0.148148148,0.176470588,0.103448276
122,0.148148148,0.176470588,0.103448276
123,0.148148148,0.176470588,0.103448276
124,0.148148148,0.176470588,0.103448276
125,0.148148148,0.176470588,0.103448276
126,0.148148148,0.205882353,0.103448276
127,0.148148148,0.205882353,0.103448276
128,0.148148148,0.205882353,0.103448276
129,0.148148148,0.205882353,0.103448276
130,0.148148148,0.205882353,0.103448276
131,0.148148148,0.205882353,0.137931034
132,0.148148148,0.205882353,0.137931034
133,0.148148148,0.205882353,0.137931034
134,0.148148148,0.205882353,0.137931034
135,0.148148148,0.205882353,0.137931034
136,0.148148148,0.205882353,0.137931034
137,0.148148148,0.205882353,0.137931034
138,0.148148148,0.205882353,0.137931034
139,0.148148148,0.205882353,0.137931034
140,0.148148148,0.205882353,0.137931034
141,0.148148148,0.205882353,0.137931034
142,0.148148148,0.205882353,0.172413793
143,0.148148148,0.205882353,0.172413793
144,0.148148148,0.205882353,0.172413793
145,0.148148148,0.205882353,0.172413793
146,0.148148148,0.205882353,0.172413793
147,0.148148148,0.205882353,0.172413793
148,0.148148148,0.205882353,0.172413793
149,0.148148148,0.205882353,0.172413793
150,0.148148148,0.205882353,0.172413793
151,0.148148148,0.205882353,0.172413793
152,0.148148148,0.205882353,0.172413793
153,0.148148148,0.205882353,0.172413793
154,0.148148148,0.205882353,0.172413793
155,0.148148148,0.205882353,0.172413793
156,0.148148148,0.205882353,0.172413793
157,0.148148148,0.205882353,0.172413793
158,0.148148148,0.205882353,0.172413793
159,0.148148148,0.205882353,0.172413793
160,0.148148148,0.205882353,0.172413793
161,0.148148148,0.205882353,0.172413793
162,0.148148148,0.205882353,0.172413793
163,0.148148148,0.205882353,0.172413793
164,0.148148148,0.205882353,0.172413793
165,0.148148148,0.205882353,0.172413793
166,0.148148148,0.205882353,0.172413793
167,0.148148148,0.205882353,0.172413793
168,0.148148148,0.205882353,0.172413793
169,0.148148148,0.205882353,0.172413793
170,0.148148148,0.205882353,0.172413793
171,0.148148148,0.205882353,0.172413793
172,0.148148148,0.205882353,0.172413793
173,0.148148148,0.205882353,0.172413793
174,0.148148148,0.205882353,0.172413793
175,0.148148148,0.205882353,0.172413793
176,0.148148148,0.205882353,0.172413793
177,0.148148148,0.205882353,0.172413793
178,0.148148148,0.205882353,0.172413793
179,0.148148148,0.205882353,0.172413793
180,0.148148148,0.205882353,0.172413793
181,0.148148148,0.205882353,0.172413793
182,0.148148148,0.205882353,0.172413793
183,0.148148148,0.205882353,0.206896552
184,0.222222222,0.205882353,0.206896552
185,0.222222222,0.205882353,0.206896552
186,0.222222222,0.205882353,0.206896552
187,0.222222222,0.205882353,0.206896552
188,0.222222222,0.205882353,0.206896552
189,0.222222222,0.205882353,0.206896552
190,0.222222222,0.205882353,0.206896552
191,0.222222222,0.205882353,0.206896552
192,0.222222222,0.205882353,0.206896552
193,0.222222222,0.205882353,0.206896552
194,0.222222222,0.205882353,0.206896552
195,0.222222222,0.205882353,0.206896552
196,0.222222222,0.205882353,0.206896552
197,0.222222222,0.205882353,0.206896552
198,0.222222222,0.205882353,0.206896552
199,0.222222222,0.205882353,0.206896552
200,0.222222222,0.205882353,0.206896552
201,0.222222222,0.205882353,0.206896552
202,0.222222222,0.205882353,0.206896552
203,0.222222222,0.205882353,0.206896552
204,0.222222222,0.205882353,0.206896552
205,0.259259259,0.205882353,0.206896552
206,0.259259259,0.205882353,0.206896552
207,0.259259259,0.205882353,0.206896552
208,0.259259259,0.205882353,0.206896552
209,0.259259259,0.205882353,0.24137931
210,0.259259259,0.205882353,0.24137931
211,0.259259259,0.205882353,0.24137931
212,0.259259259,0.205882353,0.24137931
213,0.259259259,0.205882353,0.24137931
214,0.259259259,0.205882353,0.24137931
215,0.259259259,0.205882353,0.24137931
